student_id,attendance_type,experience_level,satisfaction,hardest_topic,hands_on_completed,prep_minutes,request
S001,教室参加,初学者,5,tools,完了,30,実用的なツール設計例を増やしてほしい
S002,オンライン参加,API利用経験あり,4,structured output,完了,45,型定義から後続処理まで通して見たい
S003,教室参加,初学者,4,guardrails,完了,20,失敗例と改善例を比較したい
S004,録画視聴,初学者,3,tools,未完了,0,環境構築の前提をもう少し説明してほしい
S005,教室参加,業務でLLM利用あり,5,MCP,完了,60,MCPの接続手順をチェックリスト化してほしい
S006,オンライン参加,API利用経験あり,4,structured output,完了,30,JSONスキーマの設計理由を知りたい
S007,録画視聴,初学者,2,guardrails,未完了,0,guardrailの使いどころが分かりにくい
S008,教室参加,API利用経験あり,3,tools,未完了,15,ツールのエラー処理を詳しく扱ってほしい
S009,オンライン参加,初学者,4,MCP,完了,40,MCPサーバーの起動確認方法を知りたい
S010,教室参加,業務でLLM利用あり,5,structured output,完了,50,構造化出力を業務データに接続する例が見たい
S011,オンライン参加,初学者,4,tools,完了,25,関数ツールの入力設計を練習したい
S012,教室参加,API利用経験あり,5,guardrails,完了,45,入力と出力のguardrailを分けて理解したい
S013,録画視聴,初学者,3,structured output,未完了,10,スキーマエラー時の直し方を見たい
S014,教室参加,初学者,4,tools,完了,35,小さなツールから段階的に作りたい
S015,オンライン参加,業務でLLM利用あり,5,MCP,完了,60,既存ツール連携の実務例が知りたい
S016,教室参加,API利用経験あり,4,structured output,完了,30,型付き結果をアプリで使う例が見たい
S017,録画視聴,初学者,2,guardrails,未完了,0,安全設計の判断基準をもう少し説明してほしい
S018,オンライン参加,初学者,3,tools,未完了,20,ツール呼び出しのログを見ながら理解したい
S019,教室参加,API利用経験あり,4,MCP,完了,40,Excelやブラウザ連携との違いを整理したい
S020,オンライン参加,初学者,5,structured output,完了,30,最終レポートをJSONで受け取る例が分かりやすかった
